Unsafe,Caution,Not enough data,Safe
UMECLIDINUM,,,
UPADACITINIB,,,
URÉE,,,
VACCIN CONTRE DE L'HEPATITE A,,,
VACCIN CONTRE LE PAPILLOMAVIRUS HUMAIN,,,
VACCIN DIPHTERIQUE TETANIQUE COQUELUCHEUX,,,
VACCIN GRIPPAL A (H1N1),,,
VACCIN INFECTION A ROTAVIRUS,,,
"VACCIN MENINGOCOCCIQUE CONJUGUE A, C,W135 ET Y",,,
VACCIN PNEUMOCOCCIQUE POLYSACCHARIDIQUE CONJUGUEE,,,
VACCIN POLIOMYÉLITIQUE,,,
VALPROATE DE SODIUM,,,
VELPATASVIR,,,
VEMURAFENIB,,,
VENETOCLAX,,,
VERAPAMIL CHLORHYDRATE,,,
VERATROL,,,
VILDAGLIPTINE,,,
VINCRISTINE,,,
VINORELBINE,,,
VISMODEGIB,,,
VON WILLEBRAND,,,
XYLENE,,,
XYLOMETAZOLINE,,,
YOHIMBINE CHLORHYDRATE,,,
ZIDOVUDINE,,,
ZINC OXYDE,,,
ZINC SULFATE,,,
ZIPRASIDONE,,,
