CODE_PCT,NOM_COMMERCIAL,NAME_MAIN,FORM,STRENGTH,PACKAGE,PRIX_PUBLIC,TARIF_REFERENCE,CATEGORIE,DCI,AP
300676,MEGACEF 200 mg gelu.b/8,MEGACEF,,200 mg,b/8,15.145,12.2,E,CEFIXIME,N
300840,MEGACEF 200mg gélule Bt 16,MEGACEF,Gélule,200mg,Bt 16,24.415,24.4,E,CEFIXIME,N
300678,MEGACEF enf.100 mg/5ml pdre/sol.or.FL/60 ml,MEGACEF enf.,Solution,100 mg/5ml,FL/60 ml,17.905,13.56,E,CEFIXIME,N
301651,MEGACEF Enfants Pdre P Sol Or 100 MG/5 ML FL 40 ML,MEGACEF Enfants,Solution,100 MG/5 ML,FL 40 ML,9.06,9.04,E,CEFIXIME,N
300677,MEGACEF nourr.40mg/5ml pdre/sol.or.FL/60ml,MEGACEF nourr.,Solution,40mg/5ml,FL/60ml,9.43,7.32,E,CEFIXIME,N
103283,MENOPUR Pdre P Inj 75 UI Bt 5,MENOPUR,Poudre pour Préparation Injectable,75 UI,Bt 5,166.571,166.57,E,FSH+LH,O
300689,MEPRAZOL 10 mg gélu.FL/14,MEPRAZOL,,10 mg,FL/14,9.92,8.82,E,OMEPRAZOLE,N
300687,MEPRAZOL 20 mg gélu.FL/14,MEPRAZOL,,20 mg,FL/14,14.52,12.586,E,OMEPRAZOLE,N
300688,MEPRAZOL 20 mg gélu.FL/28,MEPRAZOL,,20 mg,FL/28,27.11,25.172,E,OMEPRAZOLE,N
300686,MEPRAZOL 20 mg gélu.FL/7,MEPRAZOL,,20 mg,FL/7,8.665,6.293,E,OMEPRAZOLE,N
303609,MEPROBAMATE Comp 400mg Bt 40,MEPROBAMATE,Comprimé,400mg,Bt 40,3.76,3.76,I,MEPROBAMATE,N
307318,MERCRYL Sol Us Ext  Fl 300ml,MERCRYL,Solution à Usage Topique,,Fl 300ml,2.875,2.7,I,MERCUROBUTOL,N
106064,MERIONAL HG 75 UI/ml Pdre P Prép Inj Bt 1 Fl+Amp Solv/1ml,MERIONAL HG,Poudre pour Préparation Injectable,75 UI/ml,Bt 1 Fl+Amp Solv/1ml,45.96,33.314,E,FSH+LH,O
300841,MESATEC 500mg comp. gastro Bt 120,MESATEC,Comprimé Gastro-Résistant,500mg,Bt 120,66.47,66.36,E,MESALAZINE,N
300413,MESATEC Comp 500mg Gastro-résist. Bt 60,MESATEC,Comprimé Gastro-Résistant,500mg,Bt 60,37.175,33.18,E,MESALAZINE,N
301512,MESONE 0.1% Creme Derm Tb 30gr,MESONE 0.1%,Crème Dermique,,Tb 30gr,10.79,10.77,E,MOMETASONE,N
302344,MESONE Spray Nasal 50 µcg/dose FL 120 doses,MESONE,Spray Nasal,,FL 120 doses,19.55,12.96,E,MOMETASONE,N
301375,MESOPRAL  Gelule Gastro resi 20 mg Fl 16,MESOPRAL,Gélule Gastro-Résistante,20 mg,Fl 16,16.82,9.792,E,ESOMEPRAZOLE,N
301377,MESOPRAL Gelule Gastro resis 40 mg  Fl 16,MESOPRAL,Gélule Gastro-Résistante,40 mg,Fl 16,25.63,11.68,E,ESOMEPRAZOLE,N
301584,MESOPRAL Gelule Gastro-resis 20 MG Fl 28,MESOPRAL,Gélule Gastro-Résistante,20 MG,Fl 28,24.905,17.136,E,ESOMEPRAZOLE,N
301586,MESOPRAL Gelule Gastro-resis 20 MG Fl 7,MESOPRAL,Gélule Gastro-Résistante,20 MG,Fl 7,7.52,4.284,E,ESOMEPRAZOLE,N
301587,MESOPRAL Gelule Gastro-resist 40 MG  Fl 28,MESOPRAL,Gélule Gastro-Résistante,40 MG,Fl 28,41.355,20.44,E,ESOMEPRAZOLE,N
301585,MESOPRAL Gelule Gastro-resist 40 MG FL 7,MESOPRAL,Gélule Gastro-Résistante,40 MG,FL 7,11.25,5.11,E,ESOMEPRAZOLE,N
504044,MESTINON 60 MG Comp Enrob Bt 20,MESTINON,Comprimé Enrobé,60 MG,Bt 20,30.802,30.8,E,PYRIDOSTIGMINE BROMURE,N
308005,METACYCLINE Comp 250mg Bt 20,METACYCLINE,Comprimé,250mg,Bt 20,2.325,2.32,E,TETRACYCLINE,N
108521,METEOSPASMYL Caps 60mg Bt 20,METEOSPASMYL Caps,,60mg,Bt 20,5.131,5.12,I,ALVERINE CITRATE+SIMETICONE,N
103343,METEOXANE Gelule Bt 60,METEOXANE,Gélule,,Bt 60,6.914,6.9,I,PHLOROGLUCINOL+SIMETHICONE,N
309830,METFORAL Comp 850mg Bt 30,METFORAL,Comprimé,850mg,Bt 30,3.925,2.61,E,METFORMINE,N
303378,METFORMINE  SANOFI (ex ZENTIVA) 850 MG Comp Pell  BT 30,METFORMINE  SANOFI (ex ZENTIVA),Comprimé Pelliculé,850 MG,BT 30,3.79,2.61,E,METFORMINE,N
303377,METFORMINE  SANOFI (EX ZENTIVA) Comp Pell 1000 mg Bt 30,METFORMINE  SANOFI (EX ZENTIVA),Comprimé Pelliculé,1000 mg,Bt 30,4.795,3.03,E,METFORMINE,N
300296,METHACIN Suppo 100mg Bt 10,METHACIN,Suppositoire,100mg,Bt 10,3.17,3.17,E,INDOMETACINE,N
300295,METHACIN Suppo 50mg Bt 10,METHACIN,Suppositoire,50mg,Bt 10,1.805,1.68,E,INDOMETACINE,N
103178,METHERGIN Sol Inj 0.2mg/ml Bt 5/1ML,METHERGIN,Solution Injectable,0.2mg/ml,Bt 5/1ML,5.832,5.83,E,METHYLERGOMETRINE,N
105599,METHOTREXATE 2.5mg Comp Bt/100,METHOTREXATE,Comprimé,2.5mg,Bt/100,49.76,49.7,V,METHOTREXATE,N
105663,METHOTREXATE EBEWE 2.5mg Comp Fl 50,METHOTREXATE EBEWE,Comprimé,2.5mg,Fl 50,27.885,24.85,V,METHOTREXATE,N
300582,METHYLDOPA TERIAK  Comp 250mg Bt 30,METHYLDOPA TERIAK,Comprimé,250mg,Bt 30,3.56,3.54,E,METHYLDOPA,N
301386,METROGYL Comp Pell 250 mg Bt 20,METROGYL,Comprimé Pelliculé,250 mg,Bt 20,2.735,2.52,E,METRONIDAZOLE,N
301098,METROL Gtte Buv 0.25 mg/ml Fl 20 ML,METROL,Gouttes Buvables,0.25 mg/ml,Fl 20 ML,7.355,7.34,E,METHYLERGOMETRINE,N
300298,METRONIDAZOLE Susp Buv 4% Fl 120ml,METRONIDAZOLE,Suspension Buvable,,Fl 120ml,5.05,5.04,E,METRONIDAZOLE,N
300173,MEXINE Amp inj 200mg Bt 10/2ml,MEXINE,Solution Injectable,200mg,Bt 10/2ml,7.705,5.94,E,CIMETIDINE,N
301472,MIBRAL 5 COMP Sec 5 mg Bt 90,MIBRAL 5,Comprimé Sécable,5 mg,Bt 90,29.51,25.2,E,AMLODIPINE,N
300740,MIBRAL 5 mg comp.sec.Bt/30,MIBRAL,Comprimé Sécable,5 mg,Bt/30,16.445,8.4,E,AMLODIPINE,N
301682,MIBRAL Comp Sec 10  MG BT 90,MIBRAL,Comprimé Sécable,10  MG,BT 90,41.15,35.28,E,AMLODIPINE,N
300897,MIBRAL Comp Sec 10mg Bt 30,MIBRAL,Comprimé Sécable,10mg,Bt 30,20.26,11.76,E,AMLODIPINE,N
301263,MIBRAL Comp Sec 5 mg Bt 60,MIBRAL,Comprimé Sécable,5 mg,Bt 60,20.445,16.8,E,AMLODIPINE,N
106136,MICARDIS 40mg Comp Bt 28,MICARDIS,Comprimé,40mg,Bt 28,47.605,21.728,E,TELMISARTAN,N
106137,MICARDIS 80mg Comp Bt 28,MICARDIS,Comprimé,80mg,Bt 28,57.08,21.728,E,TELMISARTAN,N
104260,MICARDIS Comp 40 mg Bt 28,MICARDIS,Comprimé,40 mg,Bt 28,39.71,21.728,E,TELMISARTAN,N
104261,MICARDIS Comp 80 mg Bt 28,MICARDIS,Comprimé,80 mg,Bt 28,47.605,21.728,E,TELMISARTAN,N
106138,MICARDIS PLUS 80mg/12.5mg Comp Bt 28,MICARDIS PLUS,Comprimé,80mg/12.5mg,Bt 28,57.02,26.544,E,TELMISARTAN+HYDROCHLOROTHIAZIDE,N
106139,MICARDIS PLUS 80mg/25mg Comp Bt 28,MICARDIS PLUS,Comprimé,80mg/25mg,Bt 28,64.65,26.516,E,TELMISARTAN+HYDROCHLOROTHIAZIDE,N
104262,MICARDIS PLUS Comp 80 MG/12.5MG  Bt 28,MICARDIS PLUS,Comprimé,80 MG/12.5MG,Bt 28,47.555,26.544,E,TELMISARTAN+HYDROCHLOROTHIAZIDE,N
104727,MICARDIS PLUS Comp 80 MG/25MG BT 28,MICARDIS PLUS,Comprimé,80 MG/25MG,BT 28,53.915,26.516,E,TELMISARTAN+HYDROCHLOROTHIAZIDE,N
107817,MICROGYNON Comp 30µG Bt 3.21,MICROGYNON,Comprimé,30µG,Bt 3.21,3.032,3.024,E,ETHINYLESTRADIOL+LEVONORGESTREL,N
104852,MICROLUTON Comp Pell  30 µG BT 3/35,MICROLUTON,Comprimé Pelliculé,30 µG,BT 3/35,7.096,5.145,E,LEVONORGESTREL,N
506413,MICROPAQUE Susp Buv. Bidon 2L  #,MICROPAQUE,Suspension Buvable,,,109.344,108,E,BARYUM SULFATE,N
502387,MICROPAQUE Susp Buv/Rect 100%P/V Fl 150ml,MICROPAQUE,Suspension Buvable,100%,Fl 150ml,16.562,8.1,E,BARYUM SULFATE,N
100096,MICROVAL Comp 30µG Bt3.28,MICROVAL,Comprimé,30µG,,4.19,4.116,E,LEVONORGESTREL,N
300178,MI-DIABENYL Comp 2.5mg Bt 60,MI-DIABENYL,Comprimé,2.5mg,Bt 60,4.04,1.92,E,GLIBENCLAMIDE,N
109706,MIFLASONE Gélule 200µgr/Dose Bt 60,MIFLASONE,Gélule,,Bt 60,11.586,11.58,E,BECLOMETASONE,N
109707,MIFLASONE Gélule 400µgr/Dose Bt 60,MIFLASONE,Gélule,,Bt 60,21.793,21.78,E,BECLOMETASONE,N
103301,MIFLONIDE  200 µg Pdre .Inh Bucc  Gelule Bt 60,MIFLONIDE,Gélule,200 µg,Bt 60,19.345,13.5,E,BUDESONIDE,N
103302,MIFLONIDE 400 µg Pdre .Inh Bucc  Gelule Bt 60,MIFLONIDE,Gélule,400 µg,Bt 60,31.955,22.8,E,BUDESONIDE,N
100833,MIKOSTAT 100000 UI/ML Susp Buv Fl 30ml + Compte goutte,MIKOSTAT,Suspension Buvable,100000 UI/ML,Fl 30ml + Compte goutte,6.85,6.84,I,NYSTATINE,N
105709,MINIRIN 60µg Lyoph Or Bt 30,MINIRIN,Lyophilisat,60µg,Bt 30,72.93,72.93,E,DESMOPRESSINE,N
301160,MIOREL Gelule 4 mg Bt 12,MIOREL,Gélule,4 mg,Bt 12,5.155,4.752,I,THIOCOLCHICOSIDE,N
