NAME_MAIN,STRENGTH,FORM,PACKAGE,DCI,LABO,PAYS,CODE_PCT,DATE AMM,G/P
ALBUMINE HUMAINE TAKEDA,200 gr/l,Solution injectable,flacon/50 ml,ALBUMINE HUMAINE PLASMATIQUE,Takeda Manufacturing Austria AG,Australie,10623071H,2012-05-24,Princeps
ALCOOL BENZYLIQUE,150 mg,Solution injectable,b/1/5 ml,ALCOOL BENZYLIQUE,UNIMED,Tunisie,9093411,2003-12-23,Générique
ALDACTONE 75,75 MG,Comprimé pelliculé sécable,B/30,SPIRONOLACTONE,PFIZER HOLDING FRANCE,FRANCE,4133031,2002-06-20,Princeps
ALDARA,5%,Creme dermique,B/12 Sachets Unidoses/250 mg,IMIQUIMOD,MEDA AB,SUEDE,23763011,2020-07-20,Princeps
ALDARA,5%,Creme dermique,B/12 Sachets Unidoses/250 mg,IMIQUIMOD,Viatris Healthcare Limited,Irelande,2773021,2024-10-30,Princeps
ALDURAZYME,100U/ML,Solution injectable pour perfusion,B/1FL/5ML,LARONIDASE,SANOFI B.V.,HOLLANDE,3843021H,2022-02-04,Princeps
ALECENSA,150 MG,Gélule,B/224,ALECTINIB,ROCHE PHARMA (SCHWEIZ) LTD SUISSE,SUISSE,6993241H,2021-10-26,Princeps
ALEXAN,100 mg/5ml,Solution injectable,B/1 fl/5 ML,CYTARABINE,EBEWE Pharma,AUTRICHE,6943111,2007-04-05,Générique
ALEXAN,1 gr/20 ml,Solution injectable,B/1fl/20 ml,CYTARABINE,EBEWE Pharma,AUTRICHE,6943112,2007-04-24,Générique
ALFAFERONE,3000 000 UI/ML,Solution injectable,B/1/1 ML,INTERFERON ALFA NATURELLE LEUCOCYTAIRE,ALFASIGMA S.p.A.,ITALIE,6683111H,2009-08-26,Princeps
ALGESAL SURACTIVE,,Baume,T/60 GR,MYRTECAINE+SALICYLATE DE DIETHYLAMINE,SIPHAT,Tunisie,9003431,1994-11-09,Princeps
ALGESIC 1000 MG,1000 mg,Comprimé sécable,B/8,PARACETAMOL,DAR-ESSAYDALI.,Tunisie,9213352,2011-07-18,Générique
ALGESIC PEDIATRIQUE,3%,Solution buvable,FL/ 90 ml,PARACETAMOL,DAR-ESSAYDALI.,Tunisie,9213357,2021-08-20,Générique
ALGESIC PLUS,500 mg/12.8 mg,Comprimé sécable,B/16,PARACETAMOL+CODEINE,DAR-ESSAYDALI.,Tunisie,9213356,2018-03-15,Générique
ALGÉSIC RHUME,500 mg/25 mg/5 mg,Comprimé pelliculé,B/16,PARACETAMOL+PHENYLEPHRINE+CAFEINE,DAR-ESSAYDALI.,Tunisie,9213355,2018-02-22,Princeps
ALGIX,5% - 2.67%,Suspension buvable,FL/250ML,ALGINATE DE SODIUM + BICARBONATE DE SODIUM,ADWYA,Tunisie,9044511,2022-08-31,Générique
ALGO BUSCOPAN,20 MG,Solution injectable,B/6/5 ML,N-BUTYLHYOSCINE BROMURE+NORAMIDOPYRINE,SIPHAT,Tunisie,9003421,1994-11-09,Princeps
ALIMTA,100 mg,Pdre p.prep.injectable,B/1Flacon/20 ml,PEMETREXED,ELI LILLY NEDERLAND BV,HOLLANDE,4323032H,2011-11-12,Princeps
ALLERGIFLASH,0.05%,Collyre,B/10 récipients unidoses/0.3ml,LEVOCABASTINE,CHAUVIN,FRANCE,5283181,2017-04-10,Princeps
ALLERGITYL,0.5 mg/100ml,Sirop,FL/125 ML,MEQUITAZINE,GALPHARMA,Tunisie,9223651,2022-08-12,Générique
ALLERGODIL,0.05%,Collyre,FL/6ML,AZELASTINE,MEDA PHARMA .,FRANCE,6313042,2020-08-06,Princeps
ALLERGODIL,127 µG/DOSE,Spray nasal,FL/17ML avec pompe doseuse,AZELASTINE,MEDA PHARMA .,FRANCE,6313041,2000-09-18,Princeps
ALLERGYFAST,180 MG,Comprimé pelliculé,B/15,FEXOFENADINE,SAIPH,Tunisie,9163552,2005-05-17,Générique
ALLERGYFAST,120 MG,Comprimé pelliculé,B/15,FEXOFENADINE,SAIPH,Tunisie,9163551,2005-05-17,Générique
ALMIDE,0.1%,Collyre,FL/5ML,LODOXAMIDE TROMETHAMINE,ALCON FRANCE,FRANCE,6643101,1993-05-26,Princeps
ALOPEXY,5%,Solution externe,FL/120 ml+ pipette+pompe,MINOXIDIL,PIERRE FABRE MEDICAMENT PRODUCTION TUNISIE,Tunisie,ST9323122,2012-12-26,Générique
ALOPEXY,2%,Solution externe,FL/120 ml+ pipette +pompe,MINOXIDIL,PIERRE FABRE MEDICAMENT PRODUCTION TUNISIE,Tunisie,ST9323121,2012-12-26,Générique
ALUSTAL,0.01 à 10IR ou IC/ml,Suspension injectable,FL/5ML,EXTRAITS ALLERGENIQUES,STALLERGENES,FRANCE,3653011,2000-09-05,Princeps
ALVE-ONE,160 µg/dose,Solution pour inhalation,FL/60 Doses,CICLESONIDE,BERG LIFE SCIENCES,Tunisie,9283082,2019-05-02,Générique
ALVE-ONE,80 µg/dose,Solution pour inhalation,FL/60 Doses,CICLESONIDE,BERG LIFE SCIENCES,Tunisie,9283081,2019-05-02,Générique
ALYOSTAL PRICK,100 IR/ML ou 100 IC/ML ou 1000,Solution glycéro-saline d'extrais allergéniques,à usage diagnostique B/1FL/3ML,EXTRAITS ALLERGENIQUES,STALLERGENES,FRANCE,3653053,2020-06-29,Princeps
ALYOSTAL PRICK CONTRÔLE NÉGATIF,,Solution pour prick-test cutané,B/1FL/3ML,GLYCERINE + CHLORURE DE SODIUM,STALLERGENES,FRANCE,3653051,2019-06-28,Princeps
ALYOSTAL PRICK CONTRÔLE POSITIF,10 mg/mL,Solution pour prick-test cutané,B/1FL/3ML,HISTAMINE,STALLERGENES,FRANCE,3653052,2019-08-22,Princeps
ALZHECEPT,10 mg,Comprimé pelliculé,B/30,DONEPEZIL,TAHA PHARMA,Tunisie,9373442,2017-11-20,Générique
ALZHECEPT,5 mg,Comprimé pelliculé,B/30,DONEPEZIL,TAHA PHARMA,Tunisie,9373441,2017-11-20,Générique
ALZOR,2%,Collyre,FL/5ML,DORZOLAMIDE,UNIMED,Tunisie,9093521,2005-04-02,Générique
ALZOR 3M,2%,Collyre,FL/5ML,DORZOLAMIDE,UNIMED,Tunisie,9093522,2015-03-30,Générique
AMARYL M,2 mg/500 mg,Comprimé pelliculé,B/30,GLIMEPIRIDE+METFORMINE,"HANDOK PHARMACEUTICALS Co., LTD",Corée du Sud,11613011,2010-09-17,Princeps
AMBROGAM,0.6%,Solution buvable,FL/150ML,AMBROXOL,PHARMAGHREB,Tunisie,9013492,2004-05-18,Générique
AMBROGAM 0.3%,0.3%,Solution buvable,Fl/150 ml,AMBROXOL,PHARMAGHREB,Tunisie,9013491,2004-06-29,Générique
